,song_id,artist_name,title
0,SOGSMXL12A81C23D88,Rapha\xc3\xabl,Je Sais Que La Terre Est Plate
1,SOMBCOW12AAF3B229F,Julie Zenatti,On Efface
2,SOEYIHF12AB017B5F4,The Baltimore Consort,Howells Delight
3,SODJYEC12A8C13D757,I Hate Sally,Martha Served
4,SOGSOUE12A58A76443,Orlando Pops Orchestra,Zip-A-Dee-Doo-Dah (Song of the South)
5,SOVVDCO12AB0187AF7,Brand X,Liquid Time (composition by John Goodsall)
6,SOKSZVC12A8C142004,Amorphis,Misery Path (From the Privilege of Evil)
7,SORWTIF12A6D4FAA41,Inoki,Nuovi Re pt. I I (feat. Tek money - Lady Tambler)
8,SOZQSGL12AF72A9145,Dead Kennedys,Halloween
9,SOKRHNY12AB01837DB,Brigada Victor Jara,Parto em terras distantes
10,SOBTEHX12A6D4FBF18,Atreyu,You Eclipsed By Me (Album Version)
11,SOXGDVW12AB01864E7,Mistress,Shovel
12,SOKMPKV12A67AE241B,Shadows Fall,What Drives The Weak
13,SOMVPGP12AB01881FF,Vanessa Daou,Life Force
14,SOGXENE12AB01854EB,Dave Brockie Experience,The Dance Of Europe
15,SOBHQIJ12A6D4FC7D3,Spoonie Gee,Spoonie Is Back
16,SODENZR12AAF3B13B9,R. Carlos Nakai,Blood Round Dance Song (World)
17,SOEKSGJ12A67AE227E,Linkin Park,Crawling (Album Version)
18,SOVPBXO12AB0188671,Koffi Olomid\xc3\xa9,Bennie
19,SOAMBCI12AC4685087,Alain-Fran\xc3\xa7ois,Playa del sous-sol
20,SOQNRHE12A8AE4849A,Billy May & His Orchestra,Fascinating Rhythm (Instrumental) (2007 Digital Remaster)
21,SOZKFHV12A6D4F996F,Phil Collins,I'm Not Moving
22,SOSRIVF12AB017DF0E,Philippe Sarde,Grand Fr\xc3\xa8re
23,SOIDSPL12AB0182DF0,Sister Rosetta Tharpe & Marie,Up Above My Head
24,SOPVMQT12A679C8040,Oasis,Columbia
25,SOIAZJL12A6D4F854E,Kiss,Radar For Love
26,SOCPFDY12AB018300D,John Cale,Antarctica Starts Here
27,SOVOTBC12A6D4F696A,UFO,Out In The Street (Live) (2008 Digital Remaster)
28,SOOQCOC12A8C132A5A,Back Door Slam,Heavy On My Mind (Album Version)
29,SOQYSAU12AB018263A,Cool cavemen,Everyone make love
30,SOKLGLN12A8C13D204,Dave Hollister,Calm Da Seas
31,SOMMPRY12A8C131C5C,Nestor Torres,Ran Kan Kan
32,SORDYIS12A6D4F64EC,The Impressions,I Found You
33,SOFIYUN12AB0184842,Casa Bulga,Afraid Of Change (Tribal Vocal Mix)
34,SOIHVVZ12A8C138E9D,Debbie Davies,Grow Up_ Grow Old
35,SOJIRAY12A8C141F8B,Willie Clayton,Walk Away From Love
36,SOMGMSS12A8C13492A,Bob Marley & The Wailers,Rainbow Country (Red Gold And Green Version)
37,SOMAFQT12A8AE47E8D,Tanto Metro & Devonte,Strange Things
38,SOSNDGZ12AB017D82F,Alvin Youngblood Hart,Screamin' & Hollerin' The Blues
39,SOOOCMS12A8C1413F3,Naseebo Lal,Dholna Dholna
40,SOHJXBB12A8C1437B7,Hot Tuna,Parchman Farm
